Key,KO,EN,JP,CN_S,CN_T,ES
AAA,AAA,AAA,AAA,AAA,AAA,AAA
알루카드,알루카드,Alucard,アル카드,阿鲁卡多,阿魯卡多,Alucard
정성훈,정성훈,Jung Sung-hoon,チョン・ソンフン,郑成勋,鄭成勳,Jung Sung-hoon
시스템,시스템,SYSTEM,시스템,系统,系統,SISTEMA
비문,비문,Inscription,碑文,碑文,碑文,Inscripción
문지기,문지기,Gatekeeper,門番,守门人,守門人,Guardián
DISCLAIMER,"해당 게임은 단편의 짧은 게임이기에/n [ff0000]세이브를 지원하지 않습니다.[-]/n/n게임 플레이 시,/n창을 닫으면 [ff0000]처음부터 시작[-]해야합니다./n/n 또한 이 작품에서 등장한/n모든 이름, 인물, 사건들은 허구입니다./n실존하는 인물, 장소, 건물, 제품과는/n일절 관련이 없습니다.",This game is a short story and does not support saving./nClosing the window will reset progress. All entities in this work are fictional and not related to real persons or places.,"このゲームは短編のためセーブ機能はありません。ブラウザを閉じると最初부터になります。/nまた、本作에 등장한 이름, 이름, 인물, 사건들은 모두 피션입니다.",本游戏为短篇故事，不支持存档. 关闭窗口将重置进度. 所有名称、人物和事件均为虚构.,本遊戲為短篇故事，不支援存檔. 關閉窗口將重置進度. 所有名稱、人物和事件均為虛構.,Este juego es una historia corta y no admite guardado. Todos los nombres son ficticios.
START_GAME,게임 시작,START GAME,ゲーム開始,开始游戏,開始遊戲,INICIAR
OPTIONS,옵션,OPTIONS,OPTIONS,选项,選項,OPCIONES
SCORE,스코어,SCORE,스코어,得分,得分,PUNTOS
CREDITS,제작진,CREDITS,クレジット,制作人员,製作人員,CRÉDITOS
EXIT,종료,EXIT,終了,退出,退出,SALIR
QUIT_CONFIRM,현재 창을 닫고 게임을 종료하시겠습니까?,Quit and close window?,ゲームを終了しますか？,确定退出吗？,確定退出嗎？,¿Cerrar el juego?
YES,예,YES,はい,은,是,SÍ
NO,아니오,NO,いいえ,否,否,NO
SOUND,사운드,SOUND,サウンド,声音,聲音,SONIDO
DISPLAY,출력,DISPLAY,表示,显示,顯示,PANTALLA
MASTER_MUTE,전체 음소거,MASTER MUTE,全体ミュート,静音,靜音,SILENCIAR TODO
